lat,lon,pop_density,city
-1.3416664600522563,36.705833201783456,4.733215808868408,nairobi
-1.3108331268410387,36.7991665347424,244.78448486328125,nairobi
-1.2766664603097024,37.02499986716985,5.085770130157471,nairobi
-1.18333312734603,36.89999986767126,197.4421844482422,nairobi
-1.221666460527536,36.85999986783171,3.428128957748413,nairobi
-1.3058331268608376,36.8524998678618,71.31961822509766,nairobi
-1.2816664602898868,36.7016665351335,104.94770812988281,nairobi
-1.3016664602106762,36.6924998685036,4.498645305633545,nairobi
-1.2758331269796577,36.769166534862734,17.080507278442383,nairobi
-1.2624997936991404,36.81249986802226,81.4734878540039,nairobi
-1.3074997935209165,36.763333201552804,138.70286560058594,nairobi
-1.2441664604384142,36.987499867320274,4.801874160766602,nairobi
-1.269166460339401,36.85499986785177,145.84878540039062,nairobi
-1.262499793699142,36.960833200760575,15.891716957092285,nairobi
-1.3033331268707407,36.87666653443153,57.35749816894531,nairobi
-1.3083331268509475,36.71249986842338,9.706011772155762,nairobi
-1.2783331269697564,36.8791665344215,264.8392333984375,nairobi
-1.2341664604780305,36.75249986826293,37.60520935058594,nairobi
-1.211666460567147,36.884166534401444,14.628143310546875,nairobi
-1.2741664603196066,37.045833200419615,2.765795946121216,nairobi
-1.2333331271479933,36.80499986805234,32.79526138305664,nairobi
-1.2733331269895738,36.98416653400031,2.637345314025879,nairobi
-1.2916664602502839,36.90999986763115,170.6339111328125,nairobi
-1.2924997935803149,36.79333320143246,71.18099975585938,nairobi
-1.2924997935803249,36.811666534692264,107.88719940185547,nairobi
-1.328333126771719,36.7283332016932,19.521339416503906,nairobi
-1.2724997936595304,36.79166653477248,8.628992080688477,nairobi
-1.354166460002747,36.73916653498308,11.46534252166748,nairobi
-1.3066664601908797,36.69166653517361,2.542123317718506,nairobi
-1.2524997937387559,36.77916653482262,113.70780181884766,nairobi
-1.2674997936793413,36.78916653478251,23.450246810913086,nairobi
-1.2599997937090386,36.93999986751081,56.7567024230957,nairobi
-1.237499793798167,36.99583320062018,5.972733020782471,nairobi
-1.3466664600324432,36.74666653495299,19.196163177490234,nairobi
-1.2091664605770405,36.805833201382335,8.29012680053711,nairobi
-1.2441664604384233,37.00499986725008,1.9579583406448364,nairobi
-1.2816664602898948,36.87666653443153,68.58067321777344,nairobi
-1.2824997936199318,36.798333201412404,41.949371337890625,nairobi
-1.2616664603691055,37.0199998671899,9.015355110168457,nairobi
-1.2366664604681221,37.01916653385992,3.4703428745269775,nairobi
-1.2791664602997996,36.75999986823284,100.68798065185547,nairobi
-1.2724997936595293,36.962499867420554,24.61335563659668,nairobi
-1.2733331269895707,36.95749986744061,30.919517517089844,nairobi
-1.2716664603295014,36.83166653461203,43.94611740112305,nairobi
-1.2483331270885873,36.93666653419085,15.739725112915039,nairobi
-1.2824997936199352,36.788333201452524,90.67378234863281,nairobi
-1.2908331269202489,36.79499986809244,27.868371963500977,nairobi
-1.2691664603394093,37.02499986716985,11.818229675292969,nairobi
-1.320833126801425,36.82249986798214,110.3305892944336,nairobi
-1.2633331270291739,36.965833200740526,15.871524810791016,nairobi
-1.3341664600819576,36.69083320184362,21.346487045288086,nairobi
-1.269999793669438,37.097499866879026,1.5295255184173584,nairobi
-1.2324997938179665,36.750833201602944,36.00007629394531,nairobi
-1.3033331268707502,36.78583320146255,97.55927276611328,nairobi
-1.2758331269796672,36.847499867881844,113.67511749267578,nairobi
-1.276666460309694,36.69749986848354,21.450525283813477,nairobi
-1.2924997935803182,36.83666653459198,121.46961212158203,nairobi
-1.2633331270291803,37.03999986710968,2.9171183109283447,nairobi
-1.2666664603493074,36.72083320172328,27.857587814331055,nairobi
-1.1816664606859602,36.92083320092103,33.9229621887207,nairobi
-1.2099997939070748,36.87416653444156,109.06392669677734,nairobi
-1.2424997937783624,36.76499986821278,41.30813980102539,nairobi
-1.3274997934416983,36.779999868152615,31.03117561340332,nairobi
-1.3199997934713954,36.774166534842685,38.66806411743164,nairobi
-1.2458331270984935,36.761666534892825,15.124446868896484,nairobi
-1.2341664604780287,36.809166534702285,46.25104904174805,nairobi
-1.1874997939962033,36.89916653434126,171.388671875,nairobi
-1.2816664602899,36.83749986792196,57.01073455810547,nairobi
-1.2308331271578965,36.865833201141655,19.90911102294922,nairobi
-1.3408331267222195,36.689166535183645,15.290091514587402,nairobi
-1.2116664605671448,36.8791665344215,4.876612186431885,nairobi
-1.2641664603592107,36.7991665347424,30.463205337524414,nairobi
-1.2433331271083843,36.83166653461203,2.7373762130737305,nairobi
-1.3116664601710737,36.81583320134221,81.14404296875,nairobi
-1.2883331269301492,37.03083320047978,2.197589159011841,nairobi
-1.332499793421887,36.92833320089093,89.36565399169922,nairobi
-1.2374997937981609,36.92083320092103,165.1066436767578,nairobi
-1.2883331269301483,36.85916653450172,356.7643737792969,nairobi
-1.3066664601908735,36.77749986816264,334.6994934082031,nairobi
-1.3066664601908708,36.89749986768129,176.267822265625,nairobi
-1.2583331270489753,36.86333320115167,1410.60302734375,nairobi
-1.2508331270786783,36.7899998681125,50.21792984008789,nairobi
-1.3024997935407134,36.88083320108148,89.7867202758789,nairobi
-1.3199997934713978,36.84916653454184,271.3998718261719,nairobi
-1.305833126860835,36.67999986855374,2.721281051635742,nairobi
-1.3091664601809765,36.84749986788185,13.122512817382812,nairobi
-1.2724997936595273,36.99583320062018,24.055818557739258,nairobi
-1.284999793610021,36.85583320118176,1371.8558349609375,nairobi
-1.3224997934614973,36.7274998683632,9.088382720947266,nairobi
-1.2074997939169854,36.87666653443153,27.755666732788086,nairobi
-1.2991664602205857,36.67916653522376,42.04007339477539,nairobi
-1.2916664602502876,37.01833320052992,4.656333923339844,nairobi
-1.2083331272470172,36.834166534602005,5.970951557159424,nairobi
-1.255833127058871,36.931666534210905,24.704147338867188,nairobi
-1.2724997936595348,36.977499867360386,5.865283012390137,nairobi
-1.274166460319595,37.04166653376967,16.202831268310547,nairobi
-1.318333126811331,36.884166534401444,423.7544250488281,nairobi
-1.2766664603097042,36.98749986732027,24.278587341308594,nairobi
-1.2158331272173084,36.823333201312124,121.05119323730469,nairobi
-1.2749997936496271,37.04249986709965,17.26416778564453,nairobi
-1.2699997936694378,36.91833320093106,1097.0269775390625,nairobi
-1.2608331270390816,36.83583320126198,62.066932678222656,nairobi
-1.2649997936892372,36.92833320089093,233.8303985595703,nairobi
-1.2116664605671457,36.80666653471231,26.081727981567383,nairobi
-1.2591664603790067,36.75166653493293,61.8588981628418,nairobi
-1.2649997936892368,36.767499868202755,6.758378505706787,nairobi
-1.259166460379011,36.83083320128203,20.09450912475586,nairobi
-1.2858331269400516,36.842499867901914,326.1746826171875,nairobi
